position,playerid,playername,team,competition,appearances,AVG,MOTMs,goals,assists,yellow_cards,two_yellow,red_cards,saves,goals_conceded,cleansheets
ST,237679,Randal Kolo Muani,Tottenham Hotspur,Carabao Cup,1,7.10,0,0,1,0,0,0,0,1,0
ST,237679,Randal Kolo Muani,Tottenham Hotspur,UEFA Super Cup,1,6.50,0,0,0,0,0,0,0,0,0
ST,237679,Randal Kolo Muani,Tottenham Hotspur,Premier League,2,7.70,1,1,2,0,0,0,0,2,0
ST,237679,Randal Kolo Muani,Tottenham Hotspur,UEFA Champions League,1,6.20,0,0,0,0,0,0,0,1,0
RM,237681,Takefusa Kubo,Real Sociedad,LALIGA EA SPORTS,7,6.63,1,2,0,0,0,0,0,6,1
LB,262255,Alex Bangura,Middlesbrough,Carabao Cup,1,6.20,0,0,0,0,0,0,0,1,0
RB,188537,Loïc Négo,Havre AC,Ligue 1 McDonald's,5,5.70,0,0,0,0,0,0,0,5,0
ST,73864,Juan,Göztepe SK,Trendyol Süper Lig,6,6.40,0,2,0,0,0,0,0,9,0
CDM,204923,Marcel Sabitzer,Nottingham Forest,Carabao Cup,2,6.05,0,0,0,1,0,0,0,1,1
CDM,204923,Marcel Sabitzer,Nottingham Forest,UEFA Europa League,1,7.20,0,0,1,0,0,0,0,0,0
CDM,204923,Marcel Sabitzer,Nottingham Forest,Premier League,5,6.22,0,0,0,0,0,0,0,6,0
RB,270455,Jasper Pattenden,Stevenage,Carabao Cup,1,6.00,0,0,0,0,0,0,0,1,0
GK,229501,Victor Braga,Al Najmah,Saudi Pro League,6,5.47,0,0,0,0,0,0,0,15,0
LM,262267,Ragnar Oratmangoen,FCV Dender EH,1A Pro League,7,6.14,0,0,0,0,0,0,0,3,0
RM,270460,Abdulaziz Noor,Neom,Saudi Pro League,4,6.40,0,1,0,0,0,0,0,1,0
CM,229508,Sven Sprangler,Newport County,Carabao Cup,1,5.80,0,0,0,0,0,0,0,1,0
CM,229508,Sven Sprangler,Newport County,Vertu Trophy,1,7.60,1,1,0,0,0,0,0,1,0
CB,204936,John Egan,Hull City,EFL Championship,7,6.04,0,0,0,0,0,0,0,6,0
CB,204936,John Egan,Hull City,Carabao Cup,2,6.15,0,0,0,0,0,0,0,0,0
RM,270465,Badredine Bouanani,VfB Stuttgart,UEFA Europa League,1,8.70,0,0,1,0,0,0,0,0,1
RB,73882,Pedro Carvalho,Estoril Praia,Liga Portugal,7,6.01,0,0,0,0,0,0,0,7,0
CB,221322,Eoghan O'Connell,Barnsley,Carabao Cup,1,5.70,0,0,0,0,0,0,0,1,0
CB,221322,Eoghan O'Connell,Barnsley,Vertu Trophy,1,6.60,0,0,0,0,0,0,0,0,1
CB,221323,Jérôme Onguéné,İKAS Eyüpspor,Trendyol Süper Lig,6,5.72,0,0,0,0,0,0,0,10,0
RM,254088,Amad,Real Madrid,LALIGA EA SPORTS,4,6.58,0,0,0,0,0,0,0,2,1
RM,254088,Amad,Real Madrid,UEFA Champions League,1,5.80,0,0,0,0,0,0,0,2,0
ST,237712,Valentin Castellanos,West Ham United,Premier League,6,7.33,2,2,0,1,0,0,0,4,3
ST,237712,Valentin Castellanos,West Ham United,Carabao Cup,2,7.40,1,2,0,0,0,0,0,4,0
CB,278668,Zé Pedro,Cagliari,Serie A Enilive,4,6.03,0,0,0,0,0,0,0,3,0
CM,73895,Justin Devenny,Crystal Palace,Carabao Cup,2,6.70,0,0,0,0,0,0,0,2,0
ST,82087,Matteo Lavelli,Inter Milan,UEFA Champions League,1,5.80,0,0,0,0,0,0,0,1,0
CDM,237721,Abdullah Al Khaibari,Al Nassr,Saudi Pro League,6,6.57,1,2,0,0,0,0,0,5,0
RB,221342,Maffeo,RCD Mallorca,LALIGA EA SPORTS,7,6.19,0,0,0,1,0,0,0,8,1
ST,213152,Carlton Morris,Derby County,EFL Championship,7,7.33,3,5,0,1,0,0,0,11,1
RB,204963,Carvajal,Real Madrid,LALIGA EA SPORTS,5,6.12,0,0,0,1,0,0,0,2,0
RB,204963,Carvajal,Real Madrid,European International Cup,3,6.37,0,0,0,0,0,0,0,0,0
RB,204963,Carvajal,Real Madrid,UEFA Champions League,1,6.00,0,0,0,0,0,0,0,0,0
LM,237731,Josh Hawkes,Oldham Athletic,Vertu Trophy,1,5.20,0,0,0,0,0,0,0,1,0
RW,204970,Florian Thauvin,RC Lens,Ligue 1 McDonald's,5,6.48,1,1,1,1,0,0,0,6,0
ST,254117,Maximilian Beier,LOSC Lille,Ligue 1 McDonald's,4,7.67,1,3,0,0,0,0,0,3,2
ST,254117,Maximilian Beier,LOSC Lille,UEFA Europa League,1,6.00,0,0,0,0,0,0,0,2,0
CM,254120,Tommy Doyle,Birmingham City,EFL Championship,7,6.24,0,0,2,0,0,0,0,5,0
CM,254120,Tommy Doyle,Birmingham City,Carabao Cup,1,6.10,0,0,0,1,0,0,0,1,0
CB,254121,Charlie Cresswell,Toulouse FC,Ligue 1 McDonald's,5,5.88,0,0,0,0,0,0,0,7,0
CDM,73921,Nathan De Cat,RSC Anderlecht,1A Pro League,9,6.63,0,0,1,1,0,0,0,1,4
LB,204979,Ibou Touray,Bradford City,Carabao Cup,1,5.30,0,0,0,0,0,0,0,2,0
LB,204979,Ibou Touray,Bradford City,Vertu Trophy,1,7.70,0,0,0,0,0,0,0,0,1
CAM,221363,Donny van de Beek,Girona FC,LALIGA EA SPORTS,5,6.04,0,0,0,0,0,0,0,5,0
ST,73928,Alessandro Debenedetti,Virtus Entella,Coppa Italia,1,4.00,0,0,0,0,0,1,0,2,0
CB,229558,Dayot Upamecano,FC Bayern München,UEFA Champions League,1,7.40,0,0,0,0,0,0,0,0,1
CB,73930,Massamba Sow,Sporting Charleroi,1A Pro League,4,5.62,0,0,0,0,0,0,0,6,0
ST,73932,Pape Moussa Fall,RAAL La Louvière,1A Pro League,3,6.57,0,1,0,0,0,0,0,3,0
ST,270519,William Osula,Newcastle United,Carabao Cup,1,5.80,0,0,0,0,0,0,0,1,0
CM,73943,Harry Ashfield,Cheltenham Town,Carabao Cup,1,5.10,0,0,0,0,0,0,0,3,0
CM,73943,Harry Ashfield,Cheltenham Town,Vertu Trophy,1,6.10,0,0,0,0,0,0,0,0,0
CB,229574,Arturo Calabresi,Pisa,Coppa Italia,1,6.10,0,0,0,0,0,0,0,1,0
CB,229574,Arturo Calabresi,Pisa,Serie A Enilive,4,6.08,0,0,0,0,0,0,0,4,0
CB,270531,Ousmane Diomande,Sporting CP,Liga Portugal,7,6.94,0,0,0,0,0,0,0,3,3
