competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Serie A Enilive,1076,1842,110738,Cagliari,TBD,TBD,Pisa,20251221,1400
Serie A Enilive,1076,131682,347,Inter Milan,TBD,TBD,Lecce,20251221,1400
Serie A Enilive,1076,115841,111434,Lazio,TBD,TBD,Cremonese,20251221,1400
Serie A Enilive,1076,110374,55,Fiorentina,TBD,TBD,Udinese,20251221,1700
Serie A Enilive,1076,45,52,Juventus,TBD,TBD,AS Roma,20251221,1945
Serie A Enilive,1076,110556,115845,Genoa,TBD,TBD,Atalanta,20251222,1945
Serie A Enilive,1076,131681,206,AC Milan,TBD,TBD,Hellas Verona,20251227,1400
Serie A Enilive,1076,54,1842,Torino,TBD,TBD,Cagliari,20251227,1700
Serie A Enilive,1076,50,110374,Parma,TBD,TBD,Fiorentina,20251227,1945
Serie A Enilive,1076,110738,45,Pisa,TBD,TBD,Juventus,20251228,1130
Serie A Enilive,1076,189,111974,Bologna,TBD,TBD,Sassuolo,20251228,1400
Serie A Enilive,1076,111434,48,Cremonese,TBD,TBD,SSC Napoli,20251228,1400
Serie A Enilive,1076,52,110556,AS Roma,TBD,TBD,Genoa,20251228,1400
Serie A Enilive,1076,55,115841,Udinese,TBD,TBD,Lazio,20251228,1400
Serie A Enilive,1076,347,1745,Lecce,TBD,TBD,Como 1907,20251228,1700
Serie A Enilive,1076,115845,131682,Atalanta,TBD,TBD,Inter Milan,20251228,1945
Serie A Enilive,1076,1745,55,Como 1907,TBD,TBD,Udinese,20260103,1400
Serie A Enilive,1076,131682,189,Inter Milan,TBD,TBD,Bologna,20260114,1945
Serie A Enilive,1076,115845,52,Atalanta,TBD,TBD,AS Roma,20260103,1945
Serie A Enilive,1076,115841,48,Lazio,TBD,TBD,SSC Napoli,20260104,1130
Serie A Enilive,1076,1842,131681,Cagliari,TBD,TBD,AC Milan,20260104,1400
Serie A Enilive,1076,110374,111434,Fiorentina,TBD,TBD,Cremonese,20260104,1400
Serie A Enilive,1076,206,54,Hellas Verona,TBD,TBD,Torino,20260103,1700
Serie A Enilive,1076,111974,50,Sassuolo,TBD,TBD,Parma,20260104,1400
Serie A Enilive,1076,110556,110738,Genoa,TBD,TBD,Pisa,20260104,1700
Serie A Enilive,1076,45,347,Juventus,TBD,TBD,Lecce,20260104,1945
Serie A Enilive,1076,189,115845,Bologna,TBD,TBD,Atalanta,20260106,1945
Serie A Enilive,1076,54,55,Torino,TBD,TBD,Udinese,20260107,1700
