competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Liga Portugal,1206,1888,10020,Gil Vicente FC,3,4,Estoril Praia,20250920,1630
Liga Portugal,1206,131463,234,AVS Futebol SAD,0,1,SL Benfica,20250920,1900
Liga Portugal,1206,237,1900,Sporting CP,3,0,Moreirense FC,20250920,2130
Liga Portugal,1206,744,236,Rio Ave FC,0,2,FC Porto,20250921,1630
Liga Portugal,1206,1438,717,Santa Clara,2,2,FC Alverca,20250921,2130
Liga Portugal,1206,1887,1896,Vitória SC,2,2,SC Braga,20250921,1900
Liga Portugal,1206,112516,718,CD Tondela,2,1,Estrela Amadora,20250922,2145
Liga Portugal,1206,717,1887,FC Alverca,1,2,Vitória SC,20250926,2145
Liga Portugal,1206,234,1888,SL Benfica,2,1,Gil Vicente FC,20250927,1630
Liga Portugal,1206,10020,237,Estoril Praia,1,1,Sporting CP,20250927,1630
Liga Portugal,1206,1896,1891,SC Braga,TBD,TBD,CD Nacional,20250928,1600
Liga Portugal,1206,718,131463,Estrela Amadora,1,1,AVS Futebol SAD,20250927,2130
Liga Portugal,1206,1438,112516,Santa Clara,TBD,TBD,CD Tondela,20250928,1630
Liga Portugal,1206,112513,236,FC Arouca,TBD,TBD,FC Porto,20250928,1900
Liga Portugal,1206,1900,114510,Moreirense FC,TBD,TBD,Casa Pia AC,20250928,2130
Liga Portugal,1206,112809,744,FC Famalicão,TBD,TBD,Rio Ave FC,20250929,2145
Liga Portugal,1206,744,112516,Rio Ave FC,TBD,TBD,CD Tondela,20251005,1600
Liga Portugal,1206,131463,717,AVS Futebol SAD,TBD,TBD,FC Alverca,20251004,1630
Liga Portugal,1206,114510,10020,Casa Pia AC,TBD,TBD,Estoril Praia,20251004,1630
Liga Portugal,1206,237,1896,Sporting CP,TBD,TBD,SC Braga,20251005,1600
Liga Portugal,1206,1888,718,Gil Vicente FC,TBD,TBD,Estrela Amadora,20251004,2130
Liga Portugal,1206,1891,1900,CD Nacional,TBD,TBD,Moreirense FC,20251005,1630
Liga Portugal,1206,1887,1438,Vitória SC,TBD,TBD,Santa Clara,20251005,1900
Liga Portugal,1206,236,234,FC Porto,TBD,TBD,SL Benfica,20251005,2130
Liga Portugal,1206,112513,112809,FC Arouca,TBD,TBD,FC Famalicão,20251006,2145
Liga Portugal,1206,10020,1891,Estoril Praia,TBD,TBD,CD Nacional,20251017,2145
Liga Portugal,1206,234,112513,SL Benfica,TBD,TBD,FC Arouca,20251018,1630
Liga Portugal,1206,1900,236,Moreirense FC,TBD,TBD,FC Porto,20251018,1630
Liga Portugal,1206,112516,237,CD Tondela,TBD,TBD,Sporting CP,20251018,1900
Liga Portugal,1206,718,744,Estrela Amadora,TBD,TBD,Rio Ave FC,20251018,2130
Liga Portugal,1206,1438,131463,Santa Clara,TBD,TBD,AVS Futebol SAD,20251019,1630
Liga Portugal,1206,1896,114510,SC Braga,TBD,TBD,Casa Pia AC,20251019,1900
Liga Portugal,1206,112809,1887,FC Famalicão,TBD,TBD,Vitória SC,20251019,2130
Liga Portugal,1206,717,1888,FC Alverca,TBD,TBD,Gil Vicente FC,20251020,2145
Liga Portugal,1206,112513,1900,FC Arouca,TBD,TBD,Moreirense FC,20251026,1600
Liga Portugal,1206,114510,718,Casa Pia AC,TBD,TBD,Estrela Amadora,20251025,1630
Liga Portugal,1206,237,717,Sporting CP,TBD,TBD,FC Alverca,20251025,1630
Liga Portugal,1206,236,1896,FC Porto,TBD,TBD,SC Braga,20251026,1600
Liga Portugal,1206,1888,1438,Gil Vicente FC,TBD,TBD,Santa Clara,20251025,2130
Liga Portugal,1206,1887,234,Vitória SC,TBD,TBD,SL Benfica,20251026,1630
Liga Portugal,1206,131463,112516,AVS Futebol SAD,TBD,TBD,CD Tondela,20251026,1900
Liga Portugal,1206,744,10020,Rio Ave FC,TBD,TBD,Estoril Praia,20251026,2130
Liga Portugal,1206,1891,112809,CD Nacional,TBD,TBD,FC Famalicão,20251027,2145
Liga Portugal,1206,131463,1888,AVS Futebol SAD,TBD,TBD,Gil Vicente FC,20251031,2145
Liga Portugal,1206,112809,236,FC Famalicão,TBD,TBD,FC Porto,20251101,1630
Liga Portugal,1206,1438,237,Santa Clara,TBD,TBD,Sporting CP,20251101,1630
Liga Portugal,1206,234,114510,SL Benfica,TBD,TBD,Casa Pia AC,20251101,1900
Liga Portugal,1206,112516,1887,CD Tondela,TBD,TBD,Vitória SC,20251101,2130
Liga Portugal,1206,717,744,FC Alverca,TBD,TBD,Rio Ave FC,20251102,1630
Liga Portugal,1206,10020,112513,Estoril Praia,TBD,TBD,FC Arouca,20251102,1900
Liga Portugal,1206,1896,1900,SC Braga,TBD,TBD,Moreirense FC,20251102,2130
Liga Portugal,1206,718,1891,Estrela Amadora,TBD,TBD,CD Nacional,20251103,2145
Liga Portugal,1206,114510,717,Casa Pia AC,TBD,TBD,FC Alverca,20251107,2145
Liga Portugal,1206,1888,112516,Gil Vicente FC,TBD,TBD,CD Tondela,20251108,1630
Liga Portugal,1206,1891,234,CD Nacional,TBD,TBD,SL Benfica,20251108,1630
Liga Portugal,1206,236,10020,FC Porto,TBD,TBD,Estoril Praia,20251109,1600
Liga Portugal,1206,1900,112809,Moreirense FC,TBD,TBD,FC Famalicão,20251108,2130
Liga Portugal,1206,112513,1896,FC Arouca,TBD,TBD,SC Braga,20251109,1630
Liga Portugal,1206,237,718,Sporting CP,TBD,TBD,Estrela Amadora,20251109,1900
Liga Portugal,1206,1887,131463,Vitória SC,TBD,TBD,AVS Futebol SAD,20251109,2130
Liga Portugal,1206,744,1438,Rio Ave FC,TBD,TBD,Santa Clara,20251110,2145
Liga Portugal,1206,1438,114510,Santa Clara,TBD,TBD,Casa Pia AC,20251121,2145
Liga Portugal,1206,112809,1896,FC Famalicão,TBD,TBD,SC Braga,20251122,1630
Liga Portugal,1206,234,237,SL Benfica,TBD,TBD,Sporting CP,20251122,1630
Liga Portugal,1206,717,1891,FC Alverca,TBD,TBD,CD Nacional,20251122,1900
Liga Portugal,1206,10020,1900,Estoril Praia,TBD,TBD,Moreirense FC,20251122,2130
Liga Portugal,1206,112516,236,CD Tondela,TBD,TBD,FC Porto,20251123,1630
Liga Portugal,1206,131463,744,AVS Futebol SAD,TBD,TBD,Rio Ave FC,20251123,1900
Liga Portugal,1206,718,112513,Estrela Amadora,TBD,TBD,FC Arouca,20251123,2130
Liga Portugal,1206,1887,1888,Vitória SC,TBD,TBD,Gil Vicente FC,20251124,2145
Liga Portugal,1206,236,718,FC Porto,TBD,TBD,Estrela Amadora,20251130,1600
Liga Portugal,1206,1900,234,Moreirense FC,TBD,TBD,SL Benfica,20251129,1630
Liga Portugal,1206,237,131463,Sporting CP,TBD,TBD,AVS Futebol SAD,20251129,1630
Liga Portugal,1206,1896,1438,SC Braga,TBD,TBD,Santa Clara,20251130,1600
Liga Portugal,1206,744,1887,Rio Ave FC,TBD,TBD,Vitória SC,20251130,1600
Liga Portugal,1206,112513,717,FC Arouca,TBD,TBD,FC Alverca,20251130,1630
Liga Portugal,1206,114510,1888,Casa Pia AC,TBD,TBD,Gil Vicente FC,20251130,1900
Liga Portugal,1206,112809,10020,FC Famalicão,TBD,TBD,Estoril Praia,20251130,2130
Liga Portugal,1206,1891,112516,CD Nacional,TBD,TBD,CD Tondela,20251201,2145
Liga Portugal,1206,234,112809,SL Benfica,TBD,TBD,FC Famalicão,20251205,2145
Liga Portugal,1206,717,236,FC Alverca,TBD,TBD,FC Porto,20251206,1630
Liga Portugal,1206,1887,237,Vitória SC,TBD,TBD,Sporting CP,20251206,1630
Liga Portugal,1206,1888,744,Gil Vicente FC,TBD,TBD,Rio Ave FC,20251206,1900
Liga Portugal,1206,112516,114510,CD Tondela,TBD,TBD,Casa Pia AC,20251206,2130
Liga Portugal,1206,10020,1896,Estoril Praia,TBD,TBD,SC Braga,20251207,1630
Liga Portugal,1206,1438,112513,Santa Clara,TBD,TBD,FC Arouca,20251207,1900
Liga Portugal,1206,131463,1891,AVS Futebol SAD,TBD,TBD,CD Nacional,20251207,2130
Liga Portugal,1206,718,1900,Estrela Amadora,TBD,TBD,Moreirense FC,20251208,2145
Liga Portugal,1206,237,744,Sporting CP,TBD,TBD,Rio Ave FC,20251214,1600
Liga Portugal,1206,114510,1887,Casa Pia AC,TBD,TBD,Vitória SC,20251213,1630
Liga Portugal,1206,10020,717,Estoril Praia,TBD,TBD,FC Alverca,20251213,1630
Liga Portugal,1206,1891,1438,CD Nacional,TBD,TBD,Santa Clara,20251213,1900
Liga Portugal,1206,112809,718,FC Famalicão,TBD,TBD,Estrela Amadora,20251213,2130
Liga Portugal,1206,1896,234,SC Braga,TBD,TBD,SL Benfica,20251214,1630
Liga Portugal,1206,112513,1888,FC Arouca,TBD,TBD,Gil Vicente FC,20251214,1900
Liga Portugal,1206,1900,112516,Moreirense FC,TBD,TBD,CD Tondela,20251212,2000
Liga Portugal,1206,236,131463,FC Porto,TBD,TBD,AVS Futebol SAD,20251213,1600
Liga Portugal,1206,234,10020,SL Benfica,TBD,TBD,Estoril Praia,20251219,2145
Liga Portugal,1206,717,112809,FC Alverca,TBD,TBD,FC Famalicão,20251220,1630
Liga Portugal,1206,718,1896,Estrela Amadora,TBD,TBD,SC Braga,20251220,1630
Liga Portugal,1206,131463,1900,AVS Futebol SAD,TBD,TBD,Moreirense FC,20251220,1900
Liga Portugal,1206,744,114510,Rio Ave FC,TBD,TBD,Casa Pia AC,20251221,1530
Liga Portugal,1206,1438,236,Santa Clara,TBD,TBD,FC Porto,20251221,1630
Liga Portugal,1206,112516,112513,CD Tondela,TBD,TBD,FC Arouca,20251221,1900
Liga Portugal,1206,1887,1891,Vitória SC,TBD,TBD,CD Nacional,20251221,2130
Liga Portugal,1206,1888,237,Gil Vicente FC,TBD,TBD,Sporting CP,20251222,2145
Liga Portugal,1206,1888,1891,Gil Vicente FC,TBD,TBD,CD Nacional,20260117,1800
Liga Portugal,1206,717,1900,FC Alverca,TBD,TBD,Moreirense FC,20260117,1630
Liga Portugal,1206,744,234,Rio Ave FC,TBD,TBD,SL Benfica,20260117,1630
Liga Portugal,1206,237,114510,Sporting CP,TBD,TBD,Casa Pia AC,20260117,1900
Liga Portugal,1206,718,10020,Estrela Amadora,TBD,TBD,Estoril Praia,20260117,2130
Liga Portugal,1206,1438,112809,Santa Clara,TBD,TBD,FC Famalicão,20260118,1630
Liga Portugal,1206,112516,1896,CD Tondela,TBD,TBD,SC Braga,20260118,1900
Liga Portugal,1206,1887,236,Vitória SC,TBD,TBD,FC Porto,20260118,2130
